Medical Center,MDC,38.029135,-84.507029,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0084
Medical Center Annex 5,,38.030758,-84.505028,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0078
Medical Center PPD,,38.03138,-84.504767,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0075
Medical Science Building,MN,38.030127,-84.5053,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0298
Memorial Coliseum,MC,38.039339,-84.500424,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0019
Memorial Hall,MEH,38.036859,-84.506447,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0049
Men's Basketball Dorm,,38.03898,-84.499269,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0644
Mersack/Leavell Building,,38.033231,-84.509971,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0517
Metal Arts Building,MAB,38.041962,-84.508107,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0207
Meter Test Building,,38.030281,-84.498397,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0506
Mineral Industries Building,MIIN,38.036143,-84.507021,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0051
Mining and Mineral Research Building,MMRB,38.034837,-84.503392,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0107
Mining Laboratory,ML,38.037113,-84.504289,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0038
Morgan Building,BS,38.033972,-84.505965,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0225
Multidisciplinary Research Lab 3,,38.034486,-84.507717,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0216
Multidisciplinary Science Building,MDS,38.033179,-84.507103,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0082
Newman Center,,38.035865,-84.500431,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+A002
Nursery,WASH,38.035102,-84.505582,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0060
Nursing and Health Sciences Building,CN,38.032638,-84.507766,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0232
Nutter Football Training Facility,NFTF,38.026849,-84.500543,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0277
Old College of Pharmacy Building,MDS,38.033179,-84.507103,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0082
Old Pharmacy Building,SRB,38.035371,-84.506365,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0053
Oliver H. Raymond Civil Engineering Building,OHR,38.037174,-84.505259,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0281
Opera Cottage,,38.036691,-84.500391,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0377
Outreach Center for Health and Science Opportunities,,38.030752,-84.505068,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0078
Patterson Office Tower,POT,38.038649,-84.504268,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0027
Pence Hall,PEN,38.036581,-84.504068,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0041
Peter P. Bosomworth Health Sciences Research Building,HSRE,38.030666,-84.506043,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0305
Plant Science Building,,38.026509,-84.508773,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0312
Police Station,,38.037692,-84.499348,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0023
Poundstone Regulatory Services Building,,38.020715,-84.50949,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0275
Ralph G. Anderson Building,RGAN,38.037622,-84.504875,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0503
Rasdall Gallery,SC,38.040189,-84.50363,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0030
Raymond Barnhart Gallery,,38.042048,-84.508824,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0101
Raymond F. Betts House,GCH2,38.04055,-84.49856,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0344
Recital Hall,SCFA,38.037758,-84.501121,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0241
Regulatory Services,,38.020715,-84.50949,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0275
Research Building 3,,38.08772,-84.491493,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0216
Research Facility 1,,38.035566,-84.507021,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0003
Richards House,,38.036697,-84.508721,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0400
Robert Straus Behavioral Research Building,,38.030281,-84.498397,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0506
Robotics Building,RMB,38.037004,-84.505563,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0108
"S. J. ""Sam"" Whalen Building",TRB,38.038639,-84.507512,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0043
Safety and Security Building,,38.037692,-84.499348,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0023
Sanders-Brown Center on Aging,SBCA,38.032935,-84.508648,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0230
Schmidt Vocal Arts Center,,38.036913,-84.500547,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0433
School Psychology Clinic,,38.036595,-84.509446,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0349
Scott Street Building,SSB,38.039719,-84.507676,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0002
Scovell Hall,AES,38.034973,-84.507231,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0064
Seaton Center,SB,38.028106,-84.504543,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0219
Seay Auditorium,AGN,38.028815,-84.509269,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0091
Seed House,,38.028668,-84.508247,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0092
Service Building,,38.040659,-84.505751,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0005
Shively Sports Center,SPC,38.027065,-84.500065,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0113
Shively Track and Field Stadium,,38.028417,-84.497668,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0074
Singletary Center for the Arts,SCFA,38.037807,-84.501161,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0241
Slone Research Building,SRB,38.035371,-84.506365,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0053
Small Animal Lab,,38.034002,-84.506632,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0485
Softball and Soccer Locker Room,,38.017799,-84.499787,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0485
